max_depth,training_accuracy,test_accuracy
1,0.585824727589116,0.5858079340817377
2,0.5914261652442686,0.5914081708777577
3,0.5985188403769544,0.5984528581743946
4,0.6119591715451983,0.6116568428138265
5,0.6204087172840499,0.6197476741795053
10,0.6447298020561687,0.6372802090065048
15,0.7002984876058387,0.6554125993883073
20,0.7964527041573944,0.6745839354803789
25,0.8820446879949171,0.6867129869911586
30,0.923125096326602,0.6901681502946959
35,0.938250417578572,0.6920085013450754
40,0.9429094843060396,0.6917373699101587
